"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined"
"indept1",0.385369247419233,0.385369247419233,0.262357515176279,0.262357515176279,0.23069525687007,0.23069525687007,0.0124828875407527,0.0124828875407527,0.00774618464994337,0.00774618464994337,0.0230250066124671
"indept2",0.476829916621393,0.476829916621393,0.541927907690657,0.541927907690657,0.416211656454507,0.416211656454507,0.366397065877648,0.366397065877648,0.668335610376636,0.668335610376636,0.495429660160187
"indept3",0.53436400167413,0.53436400167413,0.544544569623534,0.544544569623534,0.31640774852296,0.31640774852296,0.349952683458567,0.349952683458567,0.791993146252912,0.791993146252912,0.525091835418292
"indept4",0.590970935705758,0.590970935705758,0.465865352771148,0.465865352771148,0.354799761189078,0.354799761189078,0.666616976094701,0.666616976094701,0.771474702007963,0.771474702007963,0.587938307193847
"indept5",0.519086392621857,0.519086392621857,0.532716138074471,0.532716138074471,0.827557526913938,0.827557526913938,0.920959489511428,0.920959489511428,0.637149979102275,0.637149979102275,0.784690176766535
"indept6",0.481541124983337,0.481541124983337,0.525584399547963,0.525584399547963,0.238610836790206,0.238610836790206,0.184901788305739,0.184901788305739,0.298061677999263,0.298061677999263,0.313818371997869
"indept7",0.573257293018089,0.573257293018089,0.706921465298853,0.706921465298853,0.972433975288185,0.972433975288185,0.994043063660545,0.994043063660545,0.943646329672745,0.943646329672745,0.977786383674288
"indept8",0.44584122551925,0.44584122551925,0.489088379302271,0.489088379302271,0.367607278223746,0.367607278223746,0.786514909830864,0.786514909830864,0.985892638659954,0.985892638659954,0.932322598225315
"indept9",0.496608860302484,0.496608860302484,0.33690112453069,0.33690112453069,0.158697616702509,0.158697616702509,0.138919820637621,0.138919820637621,0.136176838293178,0.136176838293178,0.203006391071484
"indept10",0.513337080268328,0.513337080268328,0.608049107959014,0.608049107959014,0.821043263747668,0.821043263747668,0.892789864325943,0.892789864325943,0.875500336942405,0.875500336942405,0.808090078679565
"correlated1",0.54035659773963,0.54035659773963,0.411125878826311,0.411125878826311,0.097094944823621,0.097094944823621,0.00979832635968347,0.00979832635968347,0.0365167781728553,0.0365167781728553,0.0356239745772868
"correlated2",0.560269501335964,0.560269501335964,0.538402864934035,0.538402864934035,0.252059190529831,0.252059190529831,0.271641108374369,0.271641108374369,0.38111788471195,0.38111788471195,0.382262734273812
"correlated3",0.538973651436472,0.538973651436472,0.424997022858464,0.424997022858464,0.201706997540303,0.201706997540303,0.345575150337099,0.345575150337099,0.905596808868372,0.905596808868372,0.579008899138015
"correlated4",0.509144001519423,0.509144001519423,0.482736115261075,0.482736115261075,0.157671780757964,0.157671780757964,0.0279117240654451,0.0279117240654451,0.260992415834841,0.260992415834841,0.107873721562052
"correlated5",0.561330771544076,0.561330771544076,0.580549018814153,0.580549018814153,0.240166338438478,0.240166338438478,0.117992977178358,0.117992977178358,0.433297512299047,0.433297512299047,0.310097750215031
"correlated6",0.463368206406105,0.463368206406105,0.332341955906607,0.332341955906607,0.0943807024422305,0.0943807024422305,0.139502796103437,0.139502796103437,0.24302688221116,0.24302688221116,0.194274607854171
"correlated7",0.383923193243741,0.383923193243741,0.301415788310391,0.301415788310391,0.0744033136296521,0.0744033136296521,0.225897081862771,0.225897081862771,0.482506727895421,0.482506727895421,0.208226011740298
"correlated8",0.505253625532718,0.505253625532718,0.394403176522362,0.394403176522362,0.119994556836774,0.119994556836774,0.0230056409327125,0.0230056409327125,0.213918281460315,0.213918281460315,0.0865985001205694
"correlated9",0.529555411687012,0.529555411687012,0.511634704428066,0.511634704428066,0.485521043136247,0.485521043136247,0.450862155421342,0.450862155421342,0.238626121975339,0.238626121975339,0.428307133540175
"correlated10",0.496437204728199,0.496437204728199,0.428842413934206,0.428842413934206,0.435869352684449,0.435869352684449,0.568993362879714,0.568993362879714,0.661529418645653,0.661529418645653,0.521196822454566
"spatial1_1",0.618615659591558,0.618615659591558,0.636796257425757,0.636796257425757,0.721558612229187,0.721558612229187,0.781711343847349,0.781711343847349,0.863210829658012,0.863210829658012,0.752803794717816
"spatial1_2",0.601677321035439,0.601677321035439,0.516045647931241,0.516045647931241,0.484392989088241,0.484392989088241,0.721299083002166,0.721299083002166,0.696242016649947,0.696242016649947,0.614198217037238
"spatial1_3",0.565823800571122,0.565823800571122,0.467025263189129,0.467025263189129,0.38588318541846,0.38588318541846,0.510641424481596,0.510641424481596,0.658119514230246,0.658119514230246,0.519497769349374
"spatial1_4",0.550990040624926,0.550990040624926,0.558595189350412,0.558595189350412,0.66723135687132,0.66723135687132,0.692074351291332,0.692074351291332,0.109471403450495,0.109471403450495,0.426500368751531
"spatial1_5",0.50087247405454,0.50087247405454,0.603343586475548,0.603343586475548,0.622312057969371,0.622312057969371,0.289238090687731,0.289238090687731,0.0190529341584375,0.0190529341584375,0.092480979980189
"spatial1_6",0.551705439463542,0.551705439463542,0.725580180131424,0.725580180131424,0.830175006707068,0.830175006707068,0.569364657691728,0.569364657691728,0.00730484219080951,0.00730484219080951,0.0389739567780311
"spatial1_7",0.59767919459423,0.59767919459423,0.654170728337398,0.654170728337398,0.364005818321301,0.364005818321301,0.000194323706234067,0.000194323706234067,2.94047351023785e-07,2.94047351023785e-07,1.46801590439338e-06
"spatial1_8",0.527142347208406,0.527142347208406,0.460588172737535,0.460588172737535,0.232138296822565,0.232138296822565,0.00024950471098073,0.00024950471098073,2.76283151228608e-09,2.76283151228608e-09,1.38140046068713e-08
"spatial1_9",0.466159719846458,0.466159719846458,0.362077504819901,0.362077504819901,0.0654909508709407,0.0654909508709407,4.79292946109489e-07,4.79292946109489e-07,6.53671433014488e-12,6.53671433014488e-12,3.26834115327301e-11
"spatial1_10",0.507958879167889,0.507958879167889,0.471947111409389,0.471947111409389,0.00825535279597056,0.00825535279597056,5.41844070800585e-12,5.41844070800585e-12,3.9533715740449e-18,3.9533715740449e-18,1.11022302462516e-16
"spatial2_1",0.476868251142093,0.476868251142093,0.530065627854172,0.530065627854172,0.160355864079173,0.160355864079173,0.0528059905354658,0.0528059905354658,0.172983882783747,0.172983882783747,0.155325424315981
"spatial2_2",0.514715933675756,0.514715933675756,0.306700476390223,0.306700476390223,0.0417623291906128,0.0417623291906128,0.0131437059821595,0.0131437059821595,0.235686324082101,0.235686324082101,0.0471262981075135
"spatial2_3",0.460749986434267,0.460749986434267,0.323348967453061,0.323348967453061,0.146054965735247,0.146054965735247,0.0794219718605427,0.0794219718605427,0.0574208215262138,0.0574208215262138,0.124032139285787
"spatial2_4",0.50704296392799,0.50704296392799,0.456421204320931,0.456421204320931,0.154796009671772,0.154796009671772,0.0188908647635447,0.0188908647635447,0.0321747476241363,0.0321747476241363,0.054909584580089
"spatial2_5",0.554206788735378,0.554206788735378,0.507496648544051,0.507496648544051,0.0169030173048916,0.0169030173048916,1.71790135072847e-06,1.71790135072847e-06,4.62918681050084e-05,4.62918681050084e-05,8.28135184804957e-06
"spatial2_6",0.423285781574706,0.423285781574706,0.444939386901054,0.444939386901054,0.0528959620420377,0.0528959620420377,1.06555957168908e-07,1.06555957168908e-07,2.39209828456488e-06,2.39209828456488e-06,5.10058168146088e-07
"spatial2_7",0.479876748638635,0.479876748638635,0.322167834253163,0.322167834253163,0.0109326480943184,0.0109326480943184,1.60892457188603e-08,1.60892457188603e-08,5.07254567905235e-07,5.07254567905235e-07,7.79729432132115e-08
"spatial2_8",0.49792740972958,0.49792740972958,0.352917908527589,0.352917908527589,0.0117289923612957,0.0117289923612957,5.18481800977525e-09,5.18481800977525e-09,2.89642657191891e-07,2.89642657191891e-07,2.546817956528e-08
"spatial2_9",0.427249423177002,0.427249423177002,0.21719982881349,0.21719982881349,0.00155041994841543,0.00155041994841543,8.99981449032309e-12,8.99981449032309e-12,2.38843749492282e-09,2.38843749492282e-09,4.48300285782466e-11
"spatial2_10",0.47207774775775,0.47207774775775,0.312208775344175,0.312208775344175,0.000936291779952247,0.000936291779952247,2.24105002082303e-18,2.24105002082303e-18,2.18611250864013e-13,2.18611250864013e-13,1.11022302462516e-16
"spatial3_1",0.537680533073195,0.537680533073195,0.41079941356808,0.41079941356808,0.713059568982045,0.713059568982045,0.735442787992632,0.735442787992632,0.0371846951887935,0.0371846951887935,0.197722919516081
"spatial3_2",0.48216995805828,0.48216995805828,0.436954322652457,0.436954322652457,0.55727730589435,0.55727730589435,0.0452763502422224,0.0452763502422224,4.41841662490727e-06,4.41841662490727e-06,2.2089918989332e-05
"spatial3_3",0.4572163600568,0.4572163600568,0.315078852648754,0.315078852648754,0.155689410781535,0.155689410781535,1.63526084673293e-07,1.63526084673293e-07,9.65583955077179e-18,9.65583955077179e-18,1.11022302462516e-16
"spatial3_4",0.616318629140697,0.616318629140697,0.482138417750515,0.482138417750515,0.00184395133932291,0.00184395133932291,1.12748213761576e-17,1.12748213761576e-17,3.26794950512542e-30,3.26794950512542e-30,5.55e-17
"spatial3_5",0.418660730020792,0.418660730020792,0.278401435053584,0.278401435053584,0.000943303475221868,0.000943303475221868,1.86284799140831e-27,1.86284799140831e-27,2.9060372132584e-48,2.9060372132584e-48,5.55e-17
"spatial3_6",0.477560614502845,0.477560614502845,0.134946036685394,0.134946036685394,2.0137691447708e-07,2.0137691447708e-07,5.81078346244627e-40,5.81078346244627e-40,1.88275954839155e-58,1.88275954839155e-58,5.55e-17
"spatial3_7",0.398206925615129,0.398206925615129,0.109267956471412,0.109267956471412,1.0713351081445e-10,1.0713351081445e-10,7.36855754479672e-53,7.36855754479672e-53,3.36727215975912e-79,3.36727215975912e-79,5.55e-17
"spatial3_8",0.428000688828173,0.428000688828173,0.101749096437248,0.101749096437248,1.05073505851897e-12,1.05073505851897e-12,2.07638684026283e-68,2.07638684026283e-68,1.23782351149752e-97,1.23782351149752e-97,5.55e-17
"spatial3_9",0.440575289421774,0.440575289421774,0.193779445720931,0.193779445720931,1.48273990823072e-15,1.48273990823072e-15,3.76945484860146e-84,3.76945484860146e-84,2.59896772507486e-118,2.59896772507486e-118,5.55e-17
"spatial3_10",0.386354587086813,0.386354587086813,0.0448177664642042,0.0448177664642042,6.05523711457934e-22,6.05523711457934e-22,3.91943486679156e-99,3.91943486679156e-99,4.58535155974103e-137,4.58535155974103e-137,5.55e-17
"unique_1",0.417405167746736,0.417405167746736,0.00042207878661249,0.00042207878661249,3.7276406578424e-44,3.7276406578424e-44,3.48436574504447e-101,3.48436574504447e-101,1.20199962521909e-51,1.20199962521909e-51,5.55e-17
"unique_2",0.322683183311827,0.322683183311827,0.00269074898791533,0.00269074898791533,2.51696635221629e-51,2.51696635221629e-51,4.3939821991145e-98,4.3939821991145e-98,2.02586738042045e-47,2.02586738042045e-47,5.55e-17
"unique_3",0.0588861319048778,0.0588861319048778,1.78075519441379e-07,1.78075519441379e-07,2.75907138454384e-62,2.75907138454384e-62,2.01433427122739e-112,2.01433427122739e-112,3.25301619271684e-56,3.25301619271684e-56,5.55e-17
